DateTime,AddedIPs,RemovedIPs
1497731522,80,80
1497732121,80,80
1497733321,80,80
1497733922,80,80
1497734522,75,75
1497735122,80,80
1497735722,80,80
1497736322,79,79
1497736921,80,80
1497737521,80,80
1497738721,78,78
1497739321,80,80
1497739922,78,78
1497740522,79,79
1497741122,80,80
1497741721,80,80
1497742922,80,80
1497744123,80,80
1497744721,80,80
1497745321,80,80
1497745922,80,80
1497746521,74,74
1497747722,76,76
1497748321,76,76
1497748922,80,80
1497749521,80,80
1497750122,25,25
1497751321,80,80
1497752522,80,80
1497753122,68,68
1497753721,80,80
1497754321,57,57
1497754922,79,79
1497755521,80,80
1497756122,80,80
1497756721,80,80
1497757322,78,78
1497757922,80,80
1497758521,78,78
1497759121,80,80
1497759721,79,79
1497760321,80,80
1497760922,80,80
1497761521,80,80
1497762122,80,80
1497762722,80,80
1497763322,80,80
1497763922,80,80
1497764522,75,75
1497765122,73,73
1497765722,79,79
1497766921,76,76
1497767524,78,78
1497768121,80,80
1497769321,78,78
1497769922,80,80
1497770521,80,80
1497771721,80,80
1497772321,80,80
1497772923,80,80
1497773522,80,80
1497774122,79,79
1497775321,77,77
1497775922,54,54
1497776521,80,80
1497777122,74,74
1497777721,68,68
1497778923,18,18
1497779521,67,67
1497780121,80,80
1497781321,68,68
1497781922,80,80
1497782521,76,76
1497783121,78,78
1497783721,78,78
1497784322,79,79
1497784922,79,79
1497786121,80,80
1497787321,78,78
1497788521,63,63
1497789122,80,80
1497789721,78,78
1497790321,77,77
1497790922,80,80
1497791521,67,67
1497792122,80,80
1497792722,80,80
1497793322,80,80
1497794523,44,44
1497795122,80,80
1497795721,75,75
1497796321,80,80
1497796922,80,80
1497797522,79,79
1497798122,80,80
1497798721,78,78
1497799322,77,77
1497800522,77,77
1497801722,52,52
1497802321,80,80
1497802922,69,69
1497803521,18,18
1497804122,78,78
1497805322,76,76
1497805922,74,74
1497806521,80,80
1497807121,80,80
1497807721,36,36
1497808322,69,69
1497808922,80,80
1497809521,50,50
1497810122,80,80
1497810722,76,76
1497811322,80,80
1497811922,80,80
1497812522,67,67
1497813122,72,72
1497813722,80,80
1497814921,75,75
1497815521,32,32
1497816122,79,79
1497816721,80,80
1497817322,79,79
1497818522,78,78
1497819122,80,80
1497819721,80,80
1497820322,80,80
1497820922,78,78
1497821521,75,75
1497822122,76,76
1497822722,77,77
1497823322,78,78
1497824522,56,56
1497825121,77,77
1497825722,80,80
1497826321,75,75
1497826922,75,75
1497827521,73,73
1497828121,80,80
1497829321,57,57
1497829922,77,77
1497830522,74,74
1497831722,79,79
1497832322,80,80
1497832921,80,80
1497834122,77,77
1497834721,80,80
